ts_ms,price,recv_ms
1783360339000,63710.02,1783360339384
1783360340000,63710.02,1783360340493
1783360341000,63710.01,1783360341502
1783360342000,63710,1783360342420
1783360343000,63710,1783360343463
1783360344000,63702.01,1783360344439
1783360345000,63702,1783360345324
1783360346000,63669.4,1783360346435
1783360347000,63668.43,1783360347509
1783360348000,63668.43,1783360348438
1783360349000,63668.44,1783360349405
1783360350000,63668.44,1783360350397
1783360351000,63668.43,1783360351466
1783360352000,63668.43,1783360352477
1783360353000,63668.43,1783360353616
1783360354000,63668.44,1783360354430
1783360355000,63669.78,1783360355475
1783360356000,63667.55,1783360356474
1783360357000,63660.01,1783360357560
1783360358000,63660.01,1783360358524
1783360359000,63660.01,1783360359543
1783360360000,63660,1783360360411
1783360361000,63660,1783360361383
1783360362000,63660,1783360362395
1783360363000,63660,1783360363728
1783360364000,63660,1783360364413
1783360365000,63660.01,1783360365415
1783360366000,63663.99,1783360366708
1783360367000,63667.18,1783360367565
1783360368000,63667.18,1783360368410
1783360369000,63667.19,1783360369527
1783360370000,63667.18,1783360370447
1783360371000,63667.18,1783360371576
1783360372000,63667.18,1783360372405
1783360373000,63667.18,1783360373467
1783360374000,63660.01,1783360374393
1783360375000,63660.01,1783360375514
1783360376000,63660,1783360376625
1783360377000,63660,1783360377453
1783360378000,63659.96,1783360378427
1783360379000,63658,1783360379506
1783360380000,63658,1783360380532
1783360381000,63650,1783360381406
1783360382000,63650,1783360382677
1783360383000,63650,1783360383483
1783360384000,63650,1783360384476
1783360385000,63650,1783360385755
1783360386000,63650,1783360386524
1783360387000,63650,1783360387399
1783360388000,63653.99,1783360388470
1783360389000,63653.99,1783360389496
1783360390000,63655.57,1783360390470
1783360391000,63659.98,1783360391404
1783360392000,63659.99,1783360392389
1783360393000,63659.98,1783360393540
1783360394000,63657.05,1783360394551
1783360395000,63657.05,1783360395432
1783360396000,63657.06,1783360396438
1783360397000,63656,1783360397497
1783360398000,63654,1783360398453
1783360399000,63653.99,1783360399580
1783360400000,63652,1783360400408
1783360401000,63644.01,1783360401426
1783360402000,63644.01,1783360402421
1783360403000,63642.01,1783360403675
1783360404000,63642.01,1783360404512
1783360405000,63625.64,1783360405508
1783360406000,63628.43,1783360406463
1783360407000,63618.01,1783360407575
1783360408000,63622.95,1783360408488
1783360409000,63628.83,1783360409388
1783360410000,63629.99,1783360410562
1783360411000,63629.99,1783360411524
1783360412000,63638,1783360412420
1783360413000,63638,1783360413564
